event_id,mag,lat,lon,dist,pga,mmi,mmi_roman
eq19,4.1,18.775,98.984,12.99,0.0142452432289189,3.0,III
eq19,4.1,18.731,98.998,13.11,0.0142452432289189,4.0,IV
eq19,4.1,18.771,98.983,13.11,0.0142452432289189,3.0,III
eq19,4.1,18.789,98.981,13.12,0.0142452432289189,4.0,IV
eq19,4.1,18.793,98.98,13.28,0.0142452432289189,4.0,IV
eq19,4.1,18.737,98.992,13.34,0.0142452432289189,4.0,IV
eq19,4.1,18.729,98.996,13.45,0.0142452432289189,3.0,III
eq19,4.1,18.719,99.002,13.49,0.0142452432289189,4.0,IV
eq19,4.1,18.825,98.982,13.67,0.01276266298377596,4.0,IV
eq19,4.1,18.887,99.025,13.71,0.01276266298377596,3.0,III
eq19,4.1,18.79,98.974,13.89,0.01276266298377596,3.0,III
eq19,4.1,18.789,98.973,13.97,0.01276266298377596,4.0,IV
eq19,4.1,18.764,98.976,13.98,0.01276266298377596,4.0,IV
eq19,4.1,18.886,99.017,14.19,0.01276266298377596,3.0,III
eq19,4.1,18.817,98.974,14.19,0.01276266298377596,4.0,IV
eq19,4.1,18.736,98.983,14.28,0.01276266298377596,3.0,III
eq19,4.1,18.736,98.983,14.28,0.01276266298377596,4.0,IV
eq19,4.1,18.804,98.971,14.34,0.01276266298377596,4.0,IV
eq19,4.1,18.789,98.969,14.39,0.01276266298377596,4.0,IV
eq19,4.1,18.772,98.969,14.55,0.01149447393081525,4.0,IV
eq19,4.1,18.662,99.142,14.69,0.01149447393081525,2.0,II
eq19,4.1,18.79,98.966,14.74,0.01149447393081525,4.0,IV
eq19,4.1,18.716,98.986,15.13,0.01149447393081525,4.0,IV
eq19,4.1,18.815,98.963,15.31,0.01149447393081525,4.0,IV
eq19,4.1,18.75,99.246,15.39,0.01149447393081525,4.0,IV
eq19,4.1,18.892,99.003,15.71,0.01040216243011225,4.0,IV
eq19,4.1,18.787,98.955,15.89,0.01040216243011225,4.0,IV
eq19,4.1,18.771,98.953,16.24,0.01040216243011225,4.0,IV
eq19,4.1,18.656,99.044,16.33,0.01040216243011225,4.0,IV
eq19,4.1,18.711,99.237,16.39,0.01040216243011225,3.0,III
eq19,4.1,18.792,98.95,16.45,0.01040216243011225,4.0,IV
eq19,4.1,18.792,98.95,16.45,0.01040216243011225,3.0,III
eq19,4.1,18.832,98.955,16.58,0.009455363942678425,2.0,II
eq19,4.1,18.775,98.949,16.64,0.009455363942678425,4.0,IV
eq19,4.1,18.903,99.002,16.68,0.009455363942678425,4.0,IV
eq19,4.1,18.774,98.942,17.36,0.009455363942678425,4.0,IV
eq19,4.1,18.718,98.958,17.52,0.0086298959504035,3.0,III
eq19,4.1,18.884,98.97,17.74,0.0086298959504035,4.0,IV
eq19,4.1,18.633,99.144,17.86,0.0086298959504035,3.0,III
eq19,4.1,18.698,98.964,18.14,0.0086298959504035,4.0,IV
eq19,4.1,18.652,99.013,18.18,0.0086298959504035,2.0,II
eq19,4.1,18.919,98.997,18.33,0.0086298959504035,4.0,IV
eq19,4.1,18.736,98.939,18.53,0.007906320462321793,4.0,IV
eq19,4.1,18.673,98.979,18.69,0.007906320462321793,3.0,III
eq19,4.1,18.921,98.994,18.72,0.007906320462321793,4.0,IV
eq19,4.1,18.737,98.935,18.92,0.007906320462321793,4.0,IV
eq19,4.1,18.913,98.979,19.09,0.007906320462321793,3.0,III
eq19,4.1,18.947,99.033,19.1,0.007906320462321793,3.0,III
eq19,4.1,18.964,99.123,19.48,0.007906320462321793,4.0,IV
eq19,4.1,18.79,98.92,19.58,0.007268879766433008,4.0,IV
eq19,4.1,18.932,99.226,20.24,0.007268879766433008,4.0,IV
eq19,4.1,18.629,99.013,20.38,0.007268879766433008,4.0,IV
eq19,4.1,18.629,99.013,20.38,0.007268879766433008,3.0,III
eq19,4.1,18.629,99.013,20.45,0.007268879766433008,3.0,III
eq19,4.1,18.803,99.308,21.27,0.006704699034431889,3.0,III
eq19,4.1,18.915,98.951,21.46,0.006704699034431889,4.0,IV
eq19,4.1,18.7,98.923,21.77,0.006203182243860904,4.0,IV
eq19,4.1,18.59,99.126,22.35,0.006203182243860904,4.0,IV
eq19,4.1,18.697,98.916,22.49,0.006203182243860904,4.0,IV
eq19,4.1,18.691,98.919,22.56,0.005755549859685751,2.0,II
eq19,4.1,18.706,98.909,22.75,0.005755549859685751,4.0,IV
eq19,4.1,18.551,99.079,26.69,0.004373905863970869,2.0,II
eq19,4.1,18.551,99.079,26.69,0.004373905863970869,3.0,III
eq19,4.1,18.554,98.975,29.63,0.003640682683401441,3.0,III
eq19,4.1,18.619,98.879,30.48,0.003640682683401441,4.0,IV
eq19,4.1,18.608,98.77,40.75,0.002090823566647364,3.0,III
eq19,4.1,19.148,99.019,40.81,0.002090823566647364,4.0,IV
eq19,4.1,19.169,98.949,45.26,0.001767482507686092,4.0,IV
eq19,4.1,19.19,98.861,51.33,0.001406750410436284,4.0,IV
eq19,4.1,19.301,100.04,113.52,0.0002694660593274147,4.0,IV
eq19,4.1,18.041,99.909,118.74,0.000242304485571288,4.0,IV
eq19,4.1,17.473,99.747,161.31,0.0001043614575037124,2.0,II
eq2,4.9,14.785,99.035,17.06,0.0338437118116602,4.0,IV
eq2,4.9,14.817,99.002,17.49,0.0338437118116602,3.0,III
eq2,4.9,14.781,99.301,21.8,0.0149918654381641,4.0,IV
eq2,4.9,15.111,99.39,35.66,0.0105920717881731,4.0,IV
eq2,4.9,14.899,99.497,38.4,0.00970248274613957,4.0,IV
eq2,4.9,14.692,99.436,39.38,0.00930112283152673,3.0,III
eq2,4.9,15.058,99.472,39.76,0.00892535764371758,4.0,IV
eq2,4.9,14.834,98.759,41.61,0.00824208566479889,4.0,IV
eq2,4.9,14.563,99.349,43.66,0.00763772751175448,2.0,II
eq2,4.9,14.629,99.449,44.81,0.00736126884775075,4.0,IV
eq2,4.9,14.63,99.448,44.71,0.00736126884775075,4.0,IV
eq2,4.9,14.813,99.553,45.48,0.00736126884775075,4.0,IV
eq2,4.9,14.637,99.535,51.56,0.00579826775010823,3.0,III
eq2,4.9,14.411,99.127,54.35,0.00544521597920163,3.0,III
eq2,4.9,14.489,98.858,54.87,0.00528090268997376,4.0,IV
eq2,4.9,14.489,98.854,55.11,0.00528090268997376,4.0,IV
eq2,4.9,14.489,98.846,55.55,0.00512403225712303,3.0,III
eq2,4.9,14.75,98.627,57.55,0.0048307720701714,4.0,IV
eq2,4.9,14.61,99.678,66.18,0.00387707531393414,4.0,IV
eq2,4.9,14.322,99.472,73.49,0.00325202594597888,4.0,IV
eq2,4.9,14.975,99.839,75.52,0.00302739382005861,4.0,IV
eq2,4.9,15.549,99.414,77.94,0.00288945667621378,4.0,IV
eq2,4.9,14.487,99.744,79.6,0.00276000733030255,3.0,III
eq2,4.9,15.557,99.569,86.34,0.00241574809396704,4.0,IV
eq2,4.9,14.108,99.419,93.01,0.00208232038033943,3.0,III
eq2,4.9,14.446,99.881,94.38,0.00203966843017913,2.0,II
eq2,4.9,15.602,99.669,96.52,0.00191822581251228,4.0,IV
eq2,4.9,14.052,99.401,98.38,0.00187979117019198,3.0,III
eq2,4.9,14.374,99.89,99.7,0.00180578436871194,4.0,IV
eq2,4.9,14.046,99.423,99.76,0.00180578436871194,4.0,IV
eq2,4.9,14.045,99.423,99.83,0.00180578436871194,4.0,IV
eq2,4.9,14.373,99.891,99.83,0.00180578436871194,4.0,IV
eq2,4.9,15.602,99.745,101.49,0.00177014867071569,4.0,IV
eq2,4.9,14.057,99.526,102.56,0.00170146427982529,3.0,III
eq2,4.9,14.038,99.495,103.2,0.00170146427982529,4.0,IV
eq2,4.9,14.038,99.506,103.67,0.00166836008449975,4.0,IV
eq2,4.9,14.038,99.507,103.7,0.00166836008449975,4.0,IV
eq2,4.9,14.122,99.684,104.42,0.00166836008449975,4.0,IV
eq2,4.9,14.014,99.551,108.01,0.00154360280460129,4.0,IV
eq2,4.9,13.96,99.404,108.28,0.00154360280460129,4.0,IV
eq2,4.9,14.0,99.545,109.12,0.00151421153743959,2.0,II
eq2,4.9,15.385,100.024,109.17,0.00151421153743959,3.0,III
eq2,4.9,15.458,99.985,109.94,0.00148549607314005,2.0,II
eq2,4.9,14.011,99.651,113.14,0.00140320655947145,4.0,IV
eq2,4.9,15.623,99.89,113.71,0.00137700020323903,2.0,II
eq2,4.9,14.609,100.176,116.01,0.00132631827952733,4.0,IV
eq2,4.9,13.969,99.691,119.33,0.00125438290133838,4.0,IV
eq2,4.9,13.853,99.409,119.98,0.00123143465201859,4.0,IV
eq2,4.9,15.159,100.236,121.2,0.00120897816304554,4.0,IV
eq2,4.9,14.225,100.028,121.49,0.00120897816304554,4.0,IV
eq2,4.9,15.811,99.766,121.52,0.00118700017524243,4.0,IV
eq2,4.9,13.881,99.585,123.01,0.00116548789624483,4.0,IV
eq2,4.9,13.881,99.588,123.16,0.00116548789624483,4.0,IV
eq2,4.9,13.881,99.786,127.07,0.00108385521806389,4.0,IV
eq2,4.9,16.029,98.946,127.28,0.00108385521806389,4.0,IV
eq2,4.9,13.943,99.791,127.41,0.00108385521806389,4.0,IV
eq2,4.9,13.941,99.789,127.44,0.00108385521806389,4.0,IV
eq2,4.9,13.941,99.791,127.6,0.00106449453186948,4.0,IV
eq2,4.9,14.048,99.945,128.4,0.00106449453186948,2.0,II
eq2,4.9,13.914,99.765,128.62,0.00104553150627509,4.0,IV
eq2,4.9,14.048,99.949,128.65,0.00104553150627509,2.0,II
eq2,4.9,13.914,99.766,128.7,0.00104553150627509,4.0,IV
eq2,4.9,15.736,100.043,134.27,0.000956340638227593,4.0,IV
eq2,4.9,14.007,99.988,134.96,0.000939563476879122,4.0,IV
eq2,4.9,16.066,98.769,135.65,0.000923120033126569,4.0,IV
eq2,4.9,15.705,100.115,137.62,0.000891202450069126,4.0,IV
eq2,4.9,15.701,100.118,137.66,0.000891202450069126,2.0,II
eq2,4.9,15.703,100.121,138.03,0.000891202450069126,2.0,II
eq2,4.9,15.701,100.127,138.36,0.000891202450069126,4.0,IV
eq2,4.9,13.83,99.871,142.72,0.000831034776923067,4.0,IV
eq2,4.9,14.953,100.479,144.0,0.000802672703031221,4.0,IV
eq2,4.9,13.838,100.012,150.86,0.000723867128003474,4.0,IV
eq2,4.9,13.741,99.916,153.62,0.000676113234416096,4.0,IV
eq2,4.9,13.824,100.036,153.72,0.000676113234416096,4.0,IV
eq2,4.9,14.36,100.519,160.08,0.000610860747668416,2.0,II
eq2,4.9,13.577,99.744,160.89,0.000600672569619089,3.0,III
eq2,4.9,13.576,99.747,161.12,0.000600672569619089,4.0,IV
eq2,4.9,13.766,100.114,164.07,0.000571205280488242,3.0,III
eq2,4.9,13.547,99.798,166.3,0.000552437366268026,3.0,III
eq2,4.9,13.541,99.824,168.14,0.000534337790151147,4.0,IV
eq2,4.9,13.937,100.398,172.7,0.000491839310886241,3.0,III
eq2,4.9,13.783,100.321,177.74,0.000452966284355684,4.0,IV
eq2,4.9,13.918,100.497,182.5,0.000417375275469434,4.0,IV
eq2,4.9,13.822,100.421,182.8,0.000417375275469434,4.0,IV
eq2,4.9,13.818,100.445,185.09,0.000403988188744,2.0,II
eq2,4.9,13.867,100.494,185.64,0.000397467409747983,2.0,II
eq2,4.9,13.789,100.429,185.81,0.000397467409747983,4.0,IV
eq2,4.9,13.802,100.452,186.83,0.000391058882747402,4.0,IV
eq2,4.9,13.743,100.408,187.7,0.000384760474943278,2.0,II
eq2,4.9,13.717,100.516,198.2,0.000327395656171896,3.0,III
